source,source_record_id,source_url,name,leadership,religion,nation_line_raw,regent_raw,foundation_raw,address_raw,city,state,postcode,photo_urls
mapeando_axe_2010,3911,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Oyá Balé Omin,Nadja Cristina de Castro,Candomblé,Angola,Iansã,1996,"Rua Doutor Nilton Carneiro, 170, VIla 27 de Novembro, Ur2 - Ibura",Recife,PE,51345-365,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/825_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/825_2.jpg
mapeando_axe_2010,3910,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Axé Ya Ogunté Oyá Lecy,Maria José Demesio de Souza,Candomblé,Angola,Iemanjá Ogunté,1998,"Rua Engenho Canavieira, Nº125, Ur-03 Ibura",Recife,PE,51270-150,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1422_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1422_2.jpg
mapeando_axe_2010,3909,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Àbassá D'Dêmindewá,Ronaldo VIana da Silva,Candomblé,Jêje,Oxum,2000,"Rua Maria Dourado, 39 J, Sítio Novo",Olinda,PE,53110-320,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5423_2.jpg
mapeando_axe_2010,3908,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá da Oiá,Denivaldo Tenório da Silva,Candomblé,Jêje,"Iansã, Caboclo Oxóssi, Boiadeiro, Mestre Amidala",2003,"Rua 104 A, 26, Jardim Maranguape",Paulista,PE,53442-070,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2254_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2254_2.jpg
mapeando_axe_2010,3907,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá das Águas,Moisés Nelson Carneiro da Silva,Candomblé,Jêje Mahin,Orixá,2009,"Rua Divisópolis, 12, Dois Unidos",Recife,PE,52150-340,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/734_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/734_2.jpg
mapeando_axe_2010,3906,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá das Issabas de Oxóssi,Flávio Cavalcanti da Silva,Candomblé,Angola,"Mestre Sibamba, Oxóssi, Mestra Ritinha",2002,"Subida da Carrapeta, 28 - Córrego do Arcanjo, Nova Descoberta",Recife,PE,52190-121,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2102_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2102_2.jpg
mapeando_axe_2010,3905,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Angola Omulu Oba Milacy,Ana Cristina Nepomuceno de Oliveira,Candomblé,Angola,Omulu,1979,"2ª Travessia do Bandeira, 701, São José",Recife,PE,50090-190,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/580_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/580_2.jpg
mapeando_axe_2010,3904,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Iansã Amessã,Nara Maria Almeida Oliveira,"Umbanda, Batuque, Linha Cruzada, Quimbanda","Jêje, Umbanda / Linha Branca, Nagô","Iansã, Ogum",1988,"Rua São João, 1431, Harmonia",Canoas,RS,92325-330,
mapeando_axe_2010,3903,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Mina Gegê Nagô de Toy Lissá e Abê Manjá Huevy,Rosângela Correa da Rocha,Vodum,Vodum,"Toy Lissá, Abê Manjá",1985,"Conjunto Pedro Teixeira I, 122 - Quadra 01, Coqueiro",Belém,PA,66670-320,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1522_2.jpg
mapeando_axe_2010,3902,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Mina Jejê Nagô de Oxaguian Navê e Yemanjá,José Carlos Gadelha Pinheiro,Tambor de Mina,Tambor de Mina,Oxaguian,1980,"Rua Rosa Lemos, 256, Telégrafo",Belém,PA,66152-000,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1742_1.jpg
mapeando_axe_2010,3901,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Obá Afonjá,Terezinha de Jesus Pinto Lima,Umbanda,Jêje,Xangô,1964,"Rua Olímpio Francisco da Silva, 109, Bela VIsta",Contagem,MG,32010-210,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1496_1.jpg
mapeando_axe_2010,3900,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Obaluaê,Rubens de Araújo Almeida,Candomblé,Angola,Angorô,1974,"Rodovia Artur Bernardes - Passagem Nova, 86, Pratinha",Belém,PA,66816-330,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3451_1.jpg
mapeando_axe_2010,3899,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Ogum Megê e Abê Manjá,Clélia Maria Menezes Godinho,Tambor de Mina,Linha Cruzada,Ogum,1987,"Rua 3, Casa 62- Conjunto Pedro Teixeira, Parque Verde",Belém,PA,66670-340,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2603_2.jpg
mapeando_axe_2010,3898,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Ogunté,Lucas Ramos Britto,Candomblé,Angola,Iemanjá Ogunté,1995,"Rua B, 79 - Loteamento Jardim Vertente, Pontezinha",Cabo de Santo Agostinho,PE,54520-135,
mapeando_axe_2010,3897,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Oxum Aladè,Albério Ferreira da Silva,Candomblé,Jêje Egbá,"Oxum, Bessen, Oiá",2006,"Rua das Moças, 1020, Arruda",Recife,PE,52120-320,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2891_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2891_2.jpg
mapeando_axe_2010,3896,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Oxum Mywá e Oxum Pandá,Andréia da Silva,"Umbanda, Quimbanda, Africanista",Cabinda,"Oxum Mywá, Oxum, Ogum Megê, Exu Rei",1993,"Alameda I, 585, Restinga",Porto Alegre,RS,91040-010,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5214_2.jpg
mapeando_axe_2010,3895,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Santa Bárbara,Maria das Graças Lima dos Reis,Umbanda,Tambor de Mina,Caboclo Pedro de Légua,1990,"Rua A, 142 - VIla Esperança, Levilândia",Ananindeua,PA,67125-540,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1195_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1195_2.jpg
mapeando_axe_2010,3894,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Toy Badê,José Francisco Barbosa da Cunha,Xangô,Angola,Zazi,1999,"Rua Ws 12, Número 09 - Quadra 55 - Conjunto Maria Helena Coutinho, Tenoné",Belém,PA,66820-170,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4387_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4387_2.jpg
mapeando_axe_2010,3893,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Xangô Airá,Rielson José Miranda da Paixão,Candomblé,Nagô,Xangô,1986,"Rua Waldemar Falcão, Nº263, Engenho do Meio",Recife,PE,50730-020,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1881_1.jpg
mapeando_axe_2010,3892,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá de Yansã e Ogum,Nilza Sacramento Trindade,"Candomblé, Umbanda",Linha Cruzada,"Ogum, Yansã",1980,"Travessa Eneas Pinheiro, 431, Pedreira",Belém,PA,66080-290,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/226_1.jpg
mapeando_axe_2010,3891,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá D´Agelu Omadê,André Luis Custódio,Batuque,Jêje-Ijexá,"Bará Agelu, Ogum da Lua, Tiriri, Cigano",1995,"Rua Deoclécio Rodrigues, 26, Harmonia",Canoas,RS,92325-610,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5376_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5376_2.jpg
mapeando_axe_2010,3890,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá D´Oxum Mywá e Oxum Pandá,Carina Ricardo Miranda,Cabinda,Cabinda,"Oxum Pandá, Jurema das Matas, Maria Mulambo",2001,"Alameda I, 585, Restinga",Porto Alegre,RS,91790-010,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5390_2.jpg
mapeando_axe_2010,3889,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Gruta de Cáritas,Mário Avelino Martins,Omolocô,Umbanda / Linha Branca,Odé,1977,"Rua Treze, Casa 17 - Conjunto Júlia Seffer, Águas Lindas",Ananindeua,PA,67113-500,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/8_1.jpg
mapeando_axe_2010,3888,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Matamba Egunitá,Roberto Firmino da Silva,Candomblé,"Angola, Jurema",Matamba Egunitá,1990,"Rua Assunção, 35, Vasco da Gama",Recife,PE,52081-090,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/955_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/955_2.jpg
mapeando_axe_2010,3887,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Mikayá,Zuleica Telles dos Santos,Omolocô,Omolocô,Boiadeiro,2010,"Rua Coronel Augusto Camargo, 803, Fonte Grande I I",Contagem,MG,32015-740,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1575_1.jpg
mapeando_axe_2010,3886,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Nifê Ifê Olomi,Mara Margarete de Souza,Nação,Cabinda,Oxum Pandá,1999,"Rua José Veríssimo, 1535, Harmonia",Canoas,RS,92320-700,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4504_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4504_2.jpg
mapeando_axe_2010,3885,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Noxi D´Otá,Ida Carmen de Souza Said,Candomblé,Ketu,"Xangô, Iansã",1955,"Travessa Eneas Pinheiro, 81, Pedreira",Belém,PA,66083-350,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5404_1.jpg
mapeando_axe_2010,3884,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Obá Orum Xangô Baru,Marco Correia de Lima,Candomblé,Jêje,"Xangô,  Mestre Zé Pretinho",1990,"Rua Engenheiro Agrônomo Moacir Paraíba, 222, Iputinga",Recife,PE,50800-320,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2933_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2933_2.jpg
mapeando_axe_2010,3883,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Omim Axé de Dandalunda,Moacir da Silva Rocha Filho,Candomblé,Angola,Oxum,1981,"Rua Madrid,110, Imbiribeira",Recife,PE,51180-020,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/483_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/483_2.jpg
mapeando_axe_2010,3882,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Omim D'Akorodan,Luciana Tavares de Souza,Candomblé,Ketu,"Oxumaré, Xangô",2008,"Rua Espinhara , 46, Santo Amaro",Recife,PE,50110-293,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5396_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5396_2.jpg
mapeando_axe_2010,3881,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá To Igballet,Luiz Carlos Silva de Oliveira,Candomblé,Jêje,Iansã,1979,"Rua Itapiranga, 64, Iputinga",Recife,PE,50680-210,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2744_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2744_2.jpg
mapeando_axe_2010,3880,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Xangô e Iemanjá,Paulo Marcelo da Silva,Candomblé,Alaketu,Mestre Zé da Pinga,1987,"Rua dos Sociólogos, 38 A, Timbi",Camaragibe,PE,54768-180,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1715_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1715_2.jpg
mapeando_axe_2010,3879,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassá Yamim Ayrá Sessum Gilé,Jeane Soares de Souza,Candomblé,"Angola, Nagô",Oxum,1993,"Rua Engenho Água Branca, 33, Ibura",Recife,PE,51270-081,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/375_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/375_2.jpg
mapeando_axe_2010,3878,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassé de Oxalufam,Manoela do Nascimento Cruz,Omolocô,Omolocô,Mãe Maria de Moçambique,,"Rua Abílio Machado,927, Sagrada Família",Belo Horizonte,MG,31030-390,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/506_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/506_2.jpg
mapeando_axe_2010,3877,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Abassé de Zé Pelintra,Alexandre VIeira de Jesus,"Candomblé, Umbanda, Vodum, Ketu",Ketu,"Zé Pelintra, Pai João",,"Rua Mário Totta, 280 - Apto 01, Americana",Alvorada,RS,94820-400,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2084_1.jpg
mapeando_axe_2010,3876,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aclo - Associação Caritativa Luzeiro dos Orixás,Gustavo Bageston Soares,Batuque,Cabinda,"Caboclo Tupimirim, Pomba Gira Menina da Praia, Exu Marabô",2002,"Rs 401, 7205, Centro",São Jerônimo,RS,96700-000,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4168_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4168_2.jpg
mapeando_axe_2010,3875,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Adã Milacó,João Batista Cabral,"Candomblé, Jurema",Angola,Oxum,1951,"Rua Rego Melo, 01, Coelhos",Recife,PE,50060-500,
mapeando_axe_2010,3874,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Adê Kayodé Ogunitá,Rosiane Maria do Nascimento,Nagô,Yorubá,"Pomba-Gira Maria Mulambo, Mestre Zé do Beco",2002,"Rua São José, 123, Alberto Maia",Camaragibe,PE,54767-615,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2543_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/2543_2.jpg
mapeando_axe_2010,3873,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Afro-Centro de Umbanda Ogum Megê e Reino de Oxalá,Celestina Silveira Cunha,Cabinda,Cabinda,"Ogum Megê, Marabô",1969,"Travessa Rio Grande, 35, VIla Bom Princípio",Cachoeirinha,RS,94950-370,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4001_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4001_2.jpg
mapeando_axe_2010,3872,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Agamahossu,Simone Souza Brasil,Tambor de Mina,Mina,Omolu,2007,"Rua José Marino Cavaleiro de Macedo, 55, Alameda Valadares, Ariramba - Mosqueiro",Belém,PA,66915-155,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4275_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4275_2.jpg
mapeando_axe_2010,3871,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Agrupamento de Umbanda  Estrela Azul Choupana do Caboclo Cobra Coral,Cléber Francisco de Oliveira,Umbanda,Guiné,Orixás,2001,"Rua Urano, Nº141/153, VIla Satélite",Belo Horizonte,MG,,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/175_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/175_2.jpg
mapeando_axe_2010,3870,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aldeia de Tabocá da Cabocla Jaciara,Nelson Rosário do Nascimento,Tambor de Mina,Mina,"Cabocla Mariana, Risca",1985,"Travessa Mariz Barros, 1733- Fundos 2, Pedreira",Belém,PA,66085-170,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1820_1.jpg
mapeando_axe_2010,3869,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aldeia de Zé Raimundo,Odete Silva dos Santos,Pena e Maracá,Pena e Maracá,Caboclo Zé Raimundo,1984,"Rua Paricá Mirin, 46 - Passagem São Francisco, Pau D´Arco",Santa Bárbara,PA,68798-000,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5391_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/5391_2.jpg
mapeando_axe_2010,3868,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aldeia do Bom Destino,Walter Olintho de Macêdo,Umbanda,Umbanda Moxicongo,Omulu,1993,"Rua A M, Nº140, Água Branca",Contagem,MG,32370-240,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/437_1.jpg
mapeando_axe_2010,3867,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aldeia do Caboclo Pena Azul,Daniel Moreira Carneiro,Umbanda,Umbanda / Linha Branca,Caboclo José de Alcântara,2009,"Rua Castanheira, 70 - Loteamento Floresta Park, Centro",Ananindeua,PA,67033-239,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4285_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4285_2.jpg
mapeando_axe_2010,3866,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aldeia do Caboclo Rompe Mato,Maria da Conceição de VIlhena Pinheiro,Tambor de Mina,Tambor de Mina,Caboclo Rompe Mato,1983,"Passagem Caboclo Leão, 10, Jurunas",Belém,PA,66033-220,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/229_1.jpg
mapeando_axe_2010,3865,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Aqueleomã,Alexandre da Silva Rodrigues,Tambor de Mina,Tambor de Mina,Vodum Badé,2002,"Rua das Laranjeiras, 70 - Conjunto Residencial Tenoné IV, Tenoné",Belém,PA,66820-160,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4053_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/4053_2.jpg
mapeando_axe_2010,3864,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Àrá  Asé Ayê Okê,Elias Bezerra de Melo,Candomblé,Ketu,"Oxum, Xangô",2007,"Rua Alto do Brasil,  2213, Alto Santa Teresinha",Recife,PE,52080-050,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3696_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3696_2.jpg
mapeando_axe_2010,3863,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Arca Brasileira Jacutá de Iansã,Maria de Fátima Nogueira Souza,Candomblé,"Angola, Candomblé",Boiadeiro Juremeiro - Sertão,1990,"Rua Aroeira Neves, Nº151, Álvaro Carmargos",Belo Horizonte,MG,30860-000,
mapeando_axe_2010,3862,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Ashé Ilê Olu Babá Otoguyãn,Edmilson Pereira Pinho,Candomblé,Ketu,Oxalá,1998,"Rua 23 de Fevereiro, 13, Tapanã",Belém,PA,66825-460,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/62_1.jpg
mapeando_axe_2010,3861,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Associação Africana São Miguel Arcanjo,Carlos Fernando dos Santos Lopes,Linha Cruzada,"Linha Cruzada, Cabinda","Xangô, Maria Mulambo",1986,"Rua Dormênio, 395, Santa Tereza",Porto Alegre,RS,90840-100,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1653_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/1653_2.jpg
mapeando_axe_2010,3860,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Associação Afro Religiosa Filhos do Axé,Joice Elaine Baldez,Batuque,Jêje-Ijexá,Oiá,1998,"Rua Doutor Luiz Bastos Prado, 2663, Centro",Gravataí,RS,94010-021,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3859_1.jpg
mapeando_axe_2010,3859,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Associação Afro Umbandista São Miguel Arcanjo,Paulo Sérgio Santos da Silva,Linha Cruzada,"Jêje, Jêje-Ijexá","Xangô, Obá",2003,"Rua Coliseu, 508, Restinga Velha",Porto Alegre,RS,91790-280,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/3406_1.jpg
mapeando_axe_2010,3858,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Associação Beneficente Africana Santo Antônio de Categero Bará Lodê e Obá - Centro de Ogum Megê das Almas e Povo Cigano do Oriente,Dolores Sinhorinha Dorneles,Afro-Brasileira,Jêje-Ijexá,Bará Lodê,1992,"Avenida Rodolfo Muller - Quadra 12 - Casa 19, Cohab - Feitoria",São Leopoldo,RS,93056-040,
mapeando_axe_2010,3857,https://www.mapeandoaxe.org.br/cd/paginas/terreiros.htm,Associação Beneficente Afro de Cabocla Mariana,Ana Regina do Carmo Correa,Tambor de Mina,Mina,Dona Mariana,1978,"Avenida Perimetral, 952, Terra Firme",Belém,PA,66077-830,https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/824_1.jpg|https://www.mapeandoaxe.org.br/cd/images/terreiros/terreiros/824_2.jpg
