fonte,campo_original,tipos_observados,registros_fonte,preenchidos,cobertura_percentual,grupo_semantico,campo_nacional,regra_harmonizacao,incluir_formato_nacional,observacao
bahia_google,telefone,,550,0,0.000000,contato_publicacao,contato.telefone_declarado,normalizar_sem_substituir,sim,Dado interno; publicação exige controle explícito.
ceao,ano_fundacao,string,1155,1155,100.000000,organizacao_historia,organizacao.ano_fundacao_declarado,normalizar_sem_substituir,sim,Manter também a forma declarada.
ceao,bairro,string,1155,1155,100.000000,localizacao_endereco,localizacao.bairro_declarado,normalizar_sem_substituir,sim,
ceao,ceao_id,string,1155,1155,100.000000,identificadores,identificadores.ceao_id,identificador,sim,
ceao,cep,string,1155,1032,89.350649,localizacao_endereco,localizacao.cep_declarado,normalizar_sem_substituir,sim,
ceao,endereco,string,1155,953,82.510823,localizacao_endereco,localizacao.endereco_declarado,copiar_declarado,sim,
ceao,fonte,string,1155,1155,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
ceao,fonte_detalhe,string,1155,1155,100.000000,proveniencia_qualidade,proveniencia.descricao_fonte,copiar_declarado,sim,
ceao,fontes,list,1155,1155,100.000000,proveniencia_qualidade,,preservar_original,nao,Contêiner original; mapear pelos campos filhos.
ceao,fontes[],object,1155,1155,100.000000,proveniencia_qualidade,,preservar_original,nao,Item estrutural do contêiner original.
ceao,fontes[].fonte,string,1155,1155,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].fonte,identificador,sim,
ceao,fontes[].id,string,1155,1155,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].id,identificador,sim,Pode estar ausente no agregado; não inventar ID nativo.
ceao,foto_grande,string,1155,1135,98.268398,midia,midia.imagem_principal_url,copiar_declarado,sim,"URL de mídia, publicação sujeita a direitos e controle."
ceao,foto_thumb,string,1155,1135,98.268398,midia,midia.miniatura_url,copiar_declarado,sim,"URL de mídia, publicação sujeita a direitos e controle."
ceao,geo_status,string,1155,1155,100.000000,proveniencia_qualidade,qualidade.status_geografico,normalizar_sem_substituir,sim,
ceao,lat,float,1155,1155,100.000000,localizacao_endereco,localizacao.latitude,coordenada,sim,
ceao,lideranca,string,1155,1155,100.000000,organizacao_historia,organizacao.lideranca_declarada,copiar_declarado,sim,"Dado interno, controlar publicação."
ceao,lng,float,1155,1155,100.000000,localizacao_endereco,localizacao.longitude,coordenada,sim,
ceao,metodo_classificacao,string,1155,1155,100.000000,proveniencia_qualidade,qualidade.metodo_classificacao,preservar_original,revisar,"Classificação derivada, não tratar como declaração."
ceao,nacao,string,1155,1155,100.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,"Destino candidato; validar por fonte se é declaração, descrição editorial ou classificação de terceiro."
ceao,nacao_categoria,string,1155,1155,100.000000,identidade_religiosa,identidade_religiosa.categoria_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
ceao,nacao_componentes,,1155,0,0.000000,identidade_religiosa,identidade_religiosa.componentes,preservar_original,revisar,Campo derivado no agregado Bahia.
ceao,nacao_original,string,1155,1155,100.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,Destino candidato; origem e semântica precisam ser validadas por fonte.
ceao,nacao_primaria,,1155,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
ceao,nome,string,1155,1155,100.000000,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
ceao,rating,float|int,1155,41,3.549784,proveniencia_qualidade,qualidade.avaliacao_fonte,preservar_original,revisar,"Métrica específica de plataforma, manter proveniência."
ceao,regente,string,1155,1155,100.000000,organizacao_historia,organizacao.regente_declarado,copiar_declarado,sim,"Dado interno, controlar publicação."
ceao,reviews,int,1155,41,3.549784,proveniencia_qualidade,qualidade.quantidade_avaliacoes_fonte,preservar_original,revisar,Métrica específica de plataforma; confirmar semântica e data de coleta.
ceao,telefone,string,1155,1155,100.000000,contato_publicacao,contato.telefone_declarado,normalizar_sem_substituir,sim,Dado interno; publicação exige controle explícito.
cnpj,bairro,string,2673,2635,98.578376,localizacao_endereco,localizacao.bairro_declarado,normalizar_sem_substituir,sim,
cnpj,cep,string,2673,2667,99.775533,localizacao_endereco,localizacao.cep_declarado,normalizar_sem_substituir,sim,
cnpj,cnpj,string,2673,2673,100.000000,identificadores,identificadores.cnpj,identificador,sim,"Dado organizacional sujeito a validação, sem substituir o declarado."
cnpj,codigo_municipio,string,2673,2673,100.000000,localizacao_endereco,localizacao.codigo_municipio_declarado,preservar_original,revisar,Código cadastral de domínio não confirmado; não tratar como IBGE sem validação da fonte.
cnpj,data_inicio,string,2673,2673,100.000000,organizacao_historia,organizacao.data_inicio_cadastral_declarada,preservar_original,revisar,Data cadastral de semântica pendente; não representa fundação religiosa confirmada.
cnpj,lat,float,2673,2526,94.500561,geocodificacao,geocodificacao.resultado.latitude,inferido_geocodificacao,sim,Coordenada do resultado de geocodificação do input CNPJ; não é coordenada declarada ou canônica da entidade.
cnpj,lng,float,2673,2526,94.500561,geocodificacao,geocodificacao.resultado.longitude,inferido_geocodificacao,sim,Coordenada do resultado de geocodificação do input CNPJ; não é coordenada declarada ou canônica da entidade.
cnpj,logradouro,string,2673,2673,100.000000,localizacao_endereco,localizacao.logradouro_declarado,normalizar_sem_substituir,sim,
cnpj,nome_fantasia,string,2673,1357,50.766929,identificacao_nome,nome.declarado,copiar_declarado,sim,Nome fantasia cadastral.
cnpj,numero,string,2673,2673,100.000000,localizacao_endereco,localizacao.numero_declarado,normalizar_sem_substituir,sim,
cnpj,precision,string,2673,2526,94.500561,geocodificacao,geocodificacao.precisao,inferido_geocodificacao,sim,Precisão do processo de geocodificação do input CNPJ.
cnpj,query_used,string,2673,2673,100.000000,geocodificacao,geocodificacao.consulta,inferido_geocodificacao,revisar,Consulta interna do processo de geocodificação; não publicar automaticamente.
cnpj,razao_social,string,2673,2673,100.000000,identificacao_nome,nome.juridico_declarado,copiar_declarado,sim,
cnpj,source,string,2673,2673,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
cnpj,uf,string,2673,2672,99.962589,localizacao_endereco,localizacao.uf_declarada,normalizar_sem_substituir,sim,
mapeando_axe,address_raw,string,3923,3923,100.000000,localizacao_endereco,localizacao.endereco_declarado,copiar_declarado,sim,Endereço livre declarado pela fonte.
mapeando_axe,city,string,3923,3923,100.000000,localizacao_endereco,localizacao.municipio_declarado,normalizar_sem_substituir,sim,
mapeando_axe,name,string,3923,3922,99.974509,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
mapeando_axe,nominatim_addresstype,string,3923,1110,28.294672,geocodificacao,geocodificacao.tipo_endereco,inferido_geocodificacao,revisar,Vocabulário específico do geocodificador.
mapeando_axe,nominatim_confidence,float,3923,2828,72.087688,geocodificacao,geocodificacao.confianca,inferido_geocodificacao,sim,Escala precisa ser documentada antes da harmonização.
mapeando_axe,nominatim_display_name,string,3923,2828,72.087688,geocodificacao,geocodificacao.resultado.endereco,inferido_geocodificacao,sim,Resultado auxiliar do geocodificador; não substitui endereço declarado.
mapeando_axe,nominatim_lat,float,3923,2828,72.087688,geocodificacao,geocodificacao.resultado.latitude,inferido_geocodificacao,sim,"Coordenada do resultado do geocodificador, não coordenada declarada ou canônica da entidade."
mapeando_axe,nominatim_lng,float,3923,2828,72.087688,geocodificacao,geocodificacao.resultado.longitude,inferido_geocodificacao,sim,"Coordenada do resultado do geocodificador, não coordenada declarada ou canônica da entidade."
mapeando_axe,nominatim_osm_id,int,3923,2828,72.087688,geocodificacao,geocodificacao.resultado.osm_id,inferido_geocodificacao,sim,ID do objeto retornado pelo geocodificador; não prova identidade da entidade.
mapeando_axe,nominatim_osm_type,string,3923,2828,72.087688,geocodificacao,geocodificacao.resultado.osm_tipo,inferido_geocodificacao,sim,Tipo do objeto retornado pelo geocodificador.
mapeando_axe,nominatim_precision,string,3923,2828,72.087688,geocodificacao,geocodificacao.precisao,inferido_geocodificacao,sim,Precisão informada pelo processo de geocodificação.
mapeando_axe,nominatim_query,string,3923,3923,100.000000,geocodificacao,geocodificacao.consulta,inferido_geocodificacao,revisar,Interno; pode reproduzir dados de endereço e não deve ser publicado automaticamente.
mapeando_axe,nominatim_status,string,3923,3923,100.000000,geocodificacao,geocodificacao.status,inferido_geocodificacao,sim,Status do processo de geocodificação.
mapeando_axe,postcode,string,3923,3827,97.552893,localizacao_endereco,localizacao.cep_declarado,normalizar_sem_substituir,sim,
mapeando_axe,source_record_id,string,3923,3923,100.000000,identificadores,identificadores.id_nativo,identificador,sim,Identificador com namespace da fonte.
mapeando_axe,state,string,3923,3923,100.000000,localizacao_endereco,localizacao.uf_declarada,normalizar_sem_substituir,sim,
osm,bairro,,20,0,0.000000,localizacao_endereco,localizacao.bairro_declarado,normalizar_sem_substituir,sim,
osm,endereco,,20,0,0.000000,localizacao_endereco,localizacao.endereco_declarado,copiar_declarado,sim,
osm,fonte,string,20,20,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
osm,fonte_detalhe,,20,0,0.000000,proveniencia_qualidade,proveniencia.descricao_fonte,copiar_declarado,sim,
osm,fontes,list,20,20,100.000000,proveniencia_qualidade,,preservar_original,nao,Contêiner original; mapear pelos campos filhos.
osm,fontes[],object,20,20,100.000000,proveniencia_qualidade,,preservar_original,nao,Item estrutural do contêiner original.
osm,fontes[].fonte,string,20,20,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].fonte,identificador,sim,
osm,fontes[].id,,20,0,0.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].id,identificador,sim,Pode estar ausente no agregado; não inventar ID nativo.
osm,geo_status,string,20,20,100.000000,proveniencia_qualidade,qualidade.status_geografico,normalizar_sem_substituir,sim,
osm,lat,float,20,20,100.000000,localizacao_endereco,localizacao.latitude,coordenada,sim,
osm,lng,float,20,20,100.000000,localizacao_endereco,localizacao.longitude,coordenada,sim,
osm,metodo_classificacao,string,20,20,100.000000,proveniencia_qualidade,qualidade.metodo_classificacao,preservar_original,revisar,"Classificação derivada, não tratar como declaração."
osm,nacao_categoria,string,20,20,100.000000,identidade_religiosa,identidade_religiosa.categoria_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
osm,nacao_componentes,,20,0,0.000000,identidade_religiosa,identidade_religiosa.componentes,preservar_original,revisar,Campo derivado no agregado Bahia.
osm,nacao_original,,20,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,Destino candidato; origem e semântica precisam ser validadas por fonte.
osm,nacao_primaria,,20,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
osm,nome,string,20,20,100.000000,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
osm,rating,,20,0,0.000000,proveniencia_qualidade,qualidade.avaliacao_fonte,preservar_original,revisar,"Métrica específica de plataforma, manter proveniência."
osm,reviews,,20,0,0.000000,proveniencia_qualidade,qualidade.quantidade_avaliacoes_fonte,preservar_original,revisar,Métrica específica de plataforma; confirmar semântica e data de coleta.
osm,telefone,,20,0,0.000000,contato_publicacao,contato.telefone_declarado,normalizar_sem_substituir,sim,Dado interno; publicação exige controle explícito.
sefaz,fonte,string,234,234,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
sefaz,fonte_detalhe,string,234,234,100.000000,proveniencia_qualidade,proveniencia.descricao_fonte,copiar_declarado,sim,
sefaz,fontes,list,234,234,100.000000,proveniencia_qualidade,,preservar_original,nao,Contêiner original; mapear pelos campos filhos.
sefaz,fontes[],object,234,234,100.000000,proveniencia_qualidade,,preservar_original,nao,Item estrutural do contêiner original.
sefaz,fontes[].fonte,string,234,234,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].fonte,identificador,sim,
sefaz,fontes[].id,int,234,234,100.000000,proveniencia_qualidade,proveniencia.fontes_relacionadas[].id,identificador,sim,Pode estar ausente no agregado; não inventar ID nativo.
sefaz,geo_status,string,234,234,100.000000,proveniencia_qualidade,qualidade.status_geografico,normalizar_sem_substituir,sim,
sefaz,lat,,234,0,0.000000,localizacao_endereco,localizacao.latitude,coordenada,sim,
sefaz,lng,,234,0,0.000000,localizacao_endereco,localizacao.longitude,coordenada,sim,
sefaz,metodo_classificacao,string,234,234,100.000000,proveniencia_qualidade,qualidade.metodo_classificacao,preservar_original,revisar,"Classificação derivada, não tratar como declaração."
sefaz,nacao_categoria,string,234,234,100.000000,identidade_religiosa,identidade_religiosa.categoria_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
sefaz,nacao_componentes,,234,0,0.000000,identidade_religiosa,identidade_religiosa.componentes,preservar_original,revisar,Campo derivado no agregado Bahia.
sefaz,nacao_original,,234,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,Destino candidato; origem e semântica precisam ser validadas por fonte.
sefaz,nacao_primaria,,234,0,0.000000,identidade_religiosa,identidade_religiosa.nacao_normalizada,preservar_original,revisar,Campo derivado no agregado Bahia.
sefaz,nome,string,234,234,100.000000,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
sefaz,sefaz_codigo,int,234,234,100.000000,identificadores,identificadores.sefaz_codigo,identificador,sim,Identificador com namespace SEFAZ.
terreiros_brasil,categoria_raw,string,260,240,92.307692,identidade_religiosa,identidade_religiosa.categoria_declarada,copiar_declarado,sim,Categoria textual preservada sem convertê-la em tradição ou nação.
terreiros_brasil,cidade,string,260,137,52.692308,localizacao_endereco,localizacao.municipio_declarado,normalizar_sem_substituir,sim,
terreiros_brasil,descricao,string,260,260,100.000000,identificacao_nome,identificacao.descricao_declarada,copiar_declarado,sim,"Descrição exclusiva útil, mantida com proveniência."
terreiros_brasil,endereco,string,260,138,53.076923,localizacao_endereco,localizacao.endereco_declarado,copiar_declarado,sim,
terreiros_brasil,id,int,260,260,100.000000,identificadores,identificadores.id_nativo,identificador,sim,Identificador com namespace da fonte.
terreiros_brasil,lat,float,260,259,99.615385,localizacao_endereco,localizacao.latitude,coordenada,sim,
terreiros_brasil,link,string,260,260,100.000000,proveniencia_qualidade,proveniencia.url_registro,copiar_declarado,sim,
terreiros_brasil,lng,float,260,259,99.615385,localizacao_endereco,localizacao.longitude,coordenada,sim,
terreiros_brasil,nacao,string,260,260,100.000000,identidade_religiosa,identidade_religiosa.nacao_declarada,preservar_original,revisar,"Destino candidato; validar por fonte se é declaração, descrição editorial ou classificação de terceiro."
terreiros_brasil,nome,string,260,260,100.000000,identificacao_nome,nome.declarado,copiar_declarado,sim,Não eleger nome preferido nesta etapa.
terreiros_brasil,precision,string,260,1,0.384615,localizacao_endereco,localizacao.precisao,normalizar_sem_substituir,sim,
terreiros_brasil,recovery_method,string,260,1,0.384615,proveniencia_qualidade,proveniencia.metodo_recuperacao,preservar_original,sim,"Método de recuperação do registro, não atributo da entidade."
terreiros_brasil,source,string,260,260,100.000000,proveniencia_qualidade,proveniencia.fonte,identificador,sim,
terreiros_brasil,uf,string,260,137,52.692308,localizacao_endereco,localizacao.uf_declarada,normalizar_sem_substituir,sim,
